model name,number,active features,result
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.972
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.968
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.974
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.966
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.9
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.92
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.04
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.92
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.9
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.9
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.001
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00111,7,"['BURNING_NODES', 'BURNING_EDGES', 'NODES_IN_DANGER']",0.981
